proposal_id,Score_Maximize Health Impact,Score_Maximize Value for Money,Score_Reinforce Financial Sustainability,Score_Support Countries with the Greatest Needs,Score_equity,Score_final
P0171,0.537217,0.57559496,0.64257085,0.52254665,0.4754560804254423,27.237373894428394
P0172,0.32364625,0.2541539,0.5319465,0.43676955,0.42192839469796106,15.689074713454007
P0173,0.5794872,0.39256543,0.6549916,0.70365644,0.24480544343748242,13.731435785969396
P0174,0.4621588,0.35040164,0.5465524,0.32346898,0.5550186160427201,23.806225729967558
P0175,0.7096169,0.75097376,0.57694626,0.46680927,0.792982482386825,51.7369671428226
P0176,0.31886345,0.2902189,0.29334402,0.34887058,0.44938986621009247,13.858792631644262
P0177,0.35220116,0.36165255,0.435418,0.3192593,0.6174497974131831,22.901183858786904
P0178,0.54844344,0.4707902,0.45085585,0.5683924,0.4618801289444814,23.266885097515022
P0179,0.6081742,0.57917535,0.50435305,0.6649401,0.4814098542712142,28.019698526269703
P0180,0.6086376,0.63779914,0.54309964,0.50075686,0.5123445732622679,29.96290644104567
P0181,0.7290788,0.48530656,0.8262298,0.85722756,0.48550664641184205,33.95911331640132
P0182,0.21254408,0.27835345,0.1572395,0.14672172,0.7034535267820604,14.673154784621293
P0183,0.2979043,0.24706692,0.20765823,0.077447236,0.7935661448084415,18.015777124598138
P0184,0.38590503,0.26130837,0.5611026,0.56153405,0.6055761879694642,25.3536473511633
P0185,0.6936784,0.6766869,0.85138416,0.54697317,0.6356527507659595,44.87718462205137
P0186,0.6451113,0.6091033,0.74545604,0.44006652,0.5606330749488457,35.24354717812918
P0187,0.50256586,0.43293023,0.34615242,0.3229943,0.7210657541441852,29.970095243353693
P0188,0.44916314,0.27106756,0.41771168,0.4948027,0.46291828973474686,18.272198433967855
P0189,0.4341786,0.4017399,0.4451022,0.47145087,0.5892630334606341,25.50146159875157
P0190,0.37639844,0.3413648,0.24494153,0.27056128,0.5606238857700767,17.780106157525946
P0191,0.37761205,0.2813502,0.3327915,0.34401262,0.7450786258538376,24.773003552174362
P0192,0.3588034,0.18260974,0.42671198,0.48048925,0.51935846867231,17.719229058284636
P0193,0.49100012,0.5184009,0.44019502,0.49381208,0.2719227043843859,13.241029193779216
P0194,0.5779084,0.4599412,0.44908535,0.52552533,0.3608145940394829,18.129309544418195
P0195,0.32875246,0.28924984,0.30110574,0.37586212,0.37794632830709296,11.983032011085529
P0196,0.40689784,0.38396102,0.4160787,0.30820614,0.7568296368339908,29.32777230638489
P0197,0.26232958,0.29994285,0.33092237,0.14934397,0.7896972368141575,21.623010639719865
P0198,0.4215268,0.42066765,0.4607777,0.46787262,0.3565050238330298,15.616121465436233
P0199,0.5903581,0.47727334,0.5708127,0.74570644,0.33852216024947546,19.45989872754497
